ID,Set,Treatment,Contaminated,Date,Days,Stage,Week
18042024001,18042024,Control,no,20240508,0,1D,0
18042024002,18042024,Control,no,20240508,0,1D,0
18042024003,18042024,Control,no,20240508,0,1B,0
18042024004,18042024,Control,no,20240508,0,1B,0
18042024005,18042024,Control,yes,20240508,0,1D,0
18042024006,18042024,Control,yes,20240508,0,1B,0
18042024007,18042024,Control,no,20240508,0,1A,0
18042024008,18042024,Control,no,20240508,0,1D,0
18042024009,18042024,Control,yes,20240508,0,1D,0
18042024010,18042024,Control,no,20240508,0,1D,0
18042024011,18042024,Control,no,20240508,0,1C,0
18042024012,18042024,Control,no,20240508,0,1C,0
18042024013,18042024,Ceno,no,20240508,0,1D,0
18042024014,18042024,Ceno,no,20240508,0,1A,0
18042024015,18042024,Ceno,no,20240508,0,1C,0
18042024016,18042024,Ceno,no,20240508,0,1D,0
18042024017,18042024,Ceno,no,20240508,0,1C,0
18042024018,18042024,Ceno,no,20240508,0,1D,0
18042024019,18042024,Ceno,no,20240508,0,1D,0
18042024020,18042024,Ceno,no,20240508,0,1D,0
18042024021,18042024,Ceno,no,20240508,0,1D,0
18042024022,18042024,Ceno,no,20240508,0,1A,0
18042024023,18042024,Ceno,no,20240508,0,1C,0
18042024024,18042024,Ceno,no,20240508,0,1A,0
18042024025,18042024,Pilo,yes,20240508,0,1D,0
18042024026,18042024,Pilo,no,20240508,0,1D,0
18042024027,18042024,Pilo,no,20240508,0,1A,0
18042024028,18042024,Pilo,no,20240508,0,1A,0
18042024029,18042024,Pilo,no,20240508,0,1A,0
18042024030,18042024,Pilo,no,20240508,0,1B,0
18042024031,18042024,Pilo,no,20240508,0,1D,0
18042024032,18042024,Pilo,no,20240508,0,1D,0
18042024033,18042024,Pilo,no,20240508,0,1C,0
18042024034,18042024,Pilo,no,20240508,0,1D,0
18042024035,18042024,Pilo,no,20240508,0,1B,0
18042024036,18042024,Pilo,yes,20240508,0,1C,0
18042024037,18042024,Co_Inoc,no,20240508,0,1D,0
18042024038,18042024,Co_Inoc,no,20240508,0,1A,0
18042024039,18042024,Co_Inoc,no,20240508,0,1D,0
18042024040,18042024,Co_Inoc,no,20240508,0,1D,0
18042024041,18042024,Co_Inoc,no,20240508,0,1B,0
18042024042,18042024,Co_Inoc,no,20240508,0,1D,0
18042024043,18042024,Co_Inoc,no,20240508,0,1A,0
18042024044,18042024,Co_Inoc,no,20240508,0,1C,0
18042024046,18042024,Co_Inoc,no,20240508,0,1C,0
18042024047,18042024,Co_Inoc,no,20240508,0,1D,0
18042024048,18042024,Co_Inoc,no,20240508,0,1D,0
18042024001,18042024,Control,no,20240513,5,1D,0
18042024002,18042024,Control,no,20240513,5,1D,0
18042024003,18042024,Control,no,20240513,5,1C,0
18042024004,18042024,Control,no,20240513,5,1B,0
18042024005,18042024,Control,yes,20240513,5,1D,0
18042024006,18042024,Control,yes,20240513,5,1B,0
18042024007,18042024,Control,no,20240513,5,1A,0
18042024008,18042024,Control,no,20240513,5,2A,0
18042024009,18042024,Control,yes,20240513,5,1D,0
18042024010,18042024,Control,no,20240513,5,1D,0
18042024011,18042024,Control,no,20240513,5,1D,0
18042024012,18042024,Control,no,20240513,5,1D,0
18042024013,18042024,Ceno,no,20240513,5,1D,0
18042024014,18042024,Ceno,no,20240513,5,1A,0
18042024015,18042024,Ceno,no,20240513,5,1D,0
18042024016,18042024,Ceno,no,20240513,5,1D,0
18042024017,18042024,Ceno,no,20240513,5,1D,0
18042024018,18042024,Ceno,no,20240513,5,1D,0
18042024019,18042024,Ceno,no,20240513,5,2A,0
18042024020,18042024,Ceno,no,20240513,5,1D,0
18042024021,18042024,Ceno,no,20240513,5,1D,0
18042024022,18042024,Ceno,no,20240513,5,1A,0
18042024023,18042024,Ceno,no,20240513,5,1D,0
18042024024,18042024,Ceno,no,20240513,5,1A,0
18042024025,18042024,Pilo,yes,20240513,5,1D,0
18042024026,18042024,Pilo,no,20240513,5,1D,0
18042024027,18042024,Pilo,no,20240513,5,1A,0
18042024028,18042024,Pilo,no,20240513,5,1B,0
18042024029,18042024,Pilo,no,20240513,5,1A,0
18042024030,18042024,Pilo,no,20240513,5,1C,0
18042024031,18042024,Pilo,no,20240513,5,1D,0
18042024032,18042024,Pilo,no,20240513,5,1D,0
18042024033,18042024,Pilo,no,20240513,5,1C,0
18042024034,18042024,Pilo,no,20240513,5,1D,0
18042024035,18042024,Pilo,no,20240513,5,1B,0
18042024036,18042024,Pilo,yes,20240513,5,1C,0
18042024037,18042024,Co_Inoc,no,20240513,5,1D,0
18042024038,18042024,Co_Inoc,no,20240513,5,1A,0
18042024039,18042024,Co_Inoc,no,20240513,5,1D,0
18042024040,18042024,Co_Inoc,no,20240513,5,1D,0
18042024041,18042024,Co_Inoc,no,20240513,5,1B,0
18042024042,18042024,Co_Inoc,no,20240513,5,1D,0
18042024043,18042024,Co_Inoc,no,20240513,5,1A,0
18042024044,18042024,Co_Inoc,no,20240513,5,1C,0
18042024046,18042024,Co_Inoc,no,20240513,5,1C,0
18042024047,18042024,Co_Inoc,no,20240513,5,1D,0
18042024048,18042024,Co_Inoc,no,20240513,5,1D,0
18042024001,18042024,Control,no,20240517,9,1D,1
18042024002,18042024,Control,no,20240517,9,2A,1
18042024003,18042024,Control,no,20240517,9,1C,1
18042024004,18042024,Control,no,20240517,9,1B,1
18042024005,18042024,Control,yes,20240517,9,1D,1
18042024006,18042024,Control,yes,20240517,9,1B,1
18042024007,18042024,Control,no,20240517,9,1A,1
18042024008,18042024,Control,no,20240517,9,2A,1
18042024009,18042024,Control,yes,20240517,9,2A,1
18042024010,18042024,Control,no,20240517,9,1D,1
18042024011,18042024,Control,no,20240517,9,2A,1
18042024012,18042024,Control,no,20240517,9,2A,1
18042024013,18042024,Ceno,no,20240517,9,1D,1
18042024014,18042024,Ceno,no,20240517,9,1A,1
18042024015,18042024,Ceno,no,20240517,9,1D,1
18042024016,18042024,Ceno,no,20240517,9,1D,1
18042024017,18042024,Ceno,no,20240517,9,2A,1
18042024018,18042024,Ceno,no,20240517,9,1D,1
18042024019,18042024,Ceno,no,20240517,9,2B,1
18042024020,18042024,Ceno,no,20240517,9,1D,1
18042024021,18042024,Ceno,no,20240517,9,1D,1
18042024022,18042024,Ceno,no,20240517,9,1A,1
18042024023,18042024,Ceno,no,20240517,9,1D,1
18042024024,18042024,Ceno,no,20240517,9,1A,1
18042024025,18042024,Pilo,yes,20240517,9,2A,1
18042024026,18042024,Pilo,no,20240517,9,2A,1
18042024027,18042024,Pilo,no,20240517,9,1A,1
18042024028,18042024,Pilo,no,20240517,9,1C,1
18042024029,18042024,Pilo,no,20240517,9,1A,1
18042024030,18042024,Pilo,no,20240517,9,1D,1
18042024031,18042024,Pilo,no,20240517,9,1D,1
18042024032,18042024,Pilo,no,20240517,9,2A,1
18042024033,18042024,Pilo,no,20240517,9,1D,1
18042024034,18042024,Pilo,no,20240517,9,2A,1
18042024035,18042024,Pilo,no,20240517,9,1B,1
18042024036,18042024,Pilo,yes,20240517,9,1D,1
18042024037,18042024,Co_Inoc,no,20240517,9,1D,1
18042024038,18042024,Co_Inoc,no,20240517,9,1A,1
18042024039,18042024,Co_Inoc,no,20240517,9,2A,1
18042024040,18042024,Co_Inoc,no,20240517,9,1D,1
18042024041,18042024,Co_Inoc,no,20240517,9,1B,1
18042024042,18042024,Co_Inoc,no,20240517,9,1D,1
18042024043,18042024,Co_Inoc,no,20240517,9,1A,1
18042024044,18042024,Co_Inoc,no,20240517,9,1D,1
18042024046,18042024,Co_Inoc,no,20240517,9,1D,1
18042024047,18042024,Co_Inoc,no,20240517,9,1D,1
18042024048,18042024,Co_Inoc,no,20240517,9,1D,1
18042024001,18042024,Control,no,20240521,13,1D,1
18042024002,18042024,Control,no,20240521,13,2A,1
18042024003,18042024,Control,no,20240521,13,1D,1
18042024004,18042024,Control,no,20240521,13,1B,1
18042024005,18042024,Control,yes,20240521,13,1D,1
18042024006,18042024,Control,yes,20240521,13,1B,1
18042024007,18042024,Control,no,20240521,13,1B,1
18042024008,18042024,Control,no,20240521,13,2A,1
18042024009,18042024,Control,yes,20240521,13,2B,1
18042024010,18042024,Control,no,20240521,13,1D,1
18042024011,18042024,Control,no,20240521,13,2A,1
18042024012,18042024,Control,no,20240521,13,2A,1
18042024013,18042024,Ceno,no,20240521,13,1D,1
18042024014,18042024,Ceno,no,20240521,13,1B,1
18042024015,18042024,Ceno,no,20240521,13,1D,1
18042024016,18042024,Ceno,no,20240521,13,1D,1
18042024017,18042024,Ceno,no,20240521,13,2A,1
18042024018,18042024,Ceno,no,20240521,13,1D,1
18042024019,18042024,Ceno,no,20240521,13,2C,1
18042024020,18042024,Ceno,no,20240521,13,2A,1
18042024021,18042024,Ceno,no,20240521,13,1D,1
18042024022,18042024,Ceno,no,20240521,13,1A,1
18042024023,18042024,Ceno,no,20240521,13,1D,1
18042024024,18042024,Ceno,no,20240521,13,1A,1
18042024025,18042024,Pilo,yes,20240521,13,2B,1
18042024026,18042024,Pilo,no,20240521,13,2A,1
18042024027,18042024,Pilo,no,20240521,13,1B,1
18042024028,18042024,Pilo,no,20240521,13,1C,1
18042024029,18042024,Pilo,no,20240521,13,1A,1
18042024030,18042024,Pilo,no,20240521,13,1D,1
18042024031,18042024,Pilo,no,20240521,13,2A,1
18042024032,18042024,Pilo,no,20240521,13,2C,1
18042024033,18042024,Pilo,no,20240521,13,2A,1
18042024034,18042024,Pilo,no,20240521,13,2A,1
18042024035,18042024,Pilo,no,20240521,13,1C,1
18042024036,18042024,Pilo,yes,20240521,13,2A,1
18042024037,18042024,Co_Inoc,no,20240521,13,1D,1
18042024038,18042024,Co_Inoc,no,20240521,13,1A,1
18042024039,18042024,Co_Inoc,no,20240521,13,2A,1
18042024040,18042024,Co_Inoc,no,20240521,13,2A,1
18042024041,18042024,Co_Inoc,no,20240521,13,1B,1
18042024042,18042024,Co_Inoc,no,20240521,13,1D,1
18042024043,18042024,Co_Inoc,no,20240521,13,1A,1
18042024044,18042024,Co_Inoc,no,20240521,13,2A,1
18042024046,18042024,Co_Inoc,no,20240521,13,1D,1
18042024047,18042024,Co_Inoc,no,20240521,13,2A,1
18042024048,18042024,Co_Inoc,no,20240521,13,1D,1
18042024001,18042024,Control,no,20240525,17,2A,2
18042024002,18042024,Control,no,20240525,17,2A,2
18042024003,18042024,Control,no,20240525,17,1D,2
18042024004,18042024,Control,no,20240525,17,1B,2
18042024005,18042024,Control,yes,20240525,17,2A,2
18042024006,18042024,Control,yes,20240525,17,1B,2
18042024007,18042024,Control,no,20240525,17,1C,2
18042024008,18042024,Control,no,20240525,17,2C,2
18042024009,18042024,Control,yes,20240525,17,2B,2
18042024010,18042024,Control,no,20240525,17,1D,2
18042024011,18042024,Control,no,20240525,17,2A,2
18042024012,18042024,Control,no,20240525,17,2B,2
18042024013,18042024,Ceno,no,20240525,17,1D,2
18042024014,18042024,Ceno,no,20240525,17,1B,2
18042024015,18042024,Ceno,no,20240525,17,1D,2
18042024016,18042024,Ceno,no,20240525,17,1D,2
18042024017,18042024,Ceno,no,20240525,17,2A,2
18042024018,18042024,Ceno,no,20240525,17,1D,2
18042024019,18042024,Ceno,no,20240525,17,2C,2
18042024020,18042024,Ceno,no,20240525,17,2A,2
18042024021,18042024,Ceno,no,20240525,17,1D,2
18042024022,18042024,Ceno,no,20240525,17,1A,2
18042024023,18042024,Ceno,no,20240525,17,1D,2
18042024024,18042024,Ceno,no,20240525,17,1A,2
18042024025,18042024,Pilo,yes,20240525,17,2B,2
18042024026,18042024,Pilo,no,20240525,17,2A,2
18042024027,18042024,Pilo,no,20240525,17,1B,2
18042024028,18042024,Pilo,no,20240525,17,1C,2
18042024029,18042024,Pilo,no,20240525,17,1B,2
18042024030,18042024,Pilo,no,20240525,17,2A,2
18042024031,18042024,Pilo,no,20240525,17,2B,2
18042024032,18042024,Pilo,no,20240525,17,2C,2
18042024033,18042024,Pilo,no,20240525,17,2A,2
18042024034,18042024,Pilo,no,20240525,17,2B,2
18042024035,18042024,Pilo,no,20240525,17,1C,2
18042024036,18042024,Pilo,yes,20240525,17,2A,2
18042024037,18042024,Co_Inoc,no,20240525,17,1D,2
18042024038,18042024,Co_Inoc,no,20240525,17,1A,2
18042024039,18042024,Co_Inoc,no,20240525,17,2A,2
18042024040,18042024,Co_Inoc,no,20240525,17,2A,2
18042024041,18042024,Co_Inoc,no,20240525,17,1B,2
18042024042,18042024,Co_Inoc,no,20240525,17,1D,2
18042024043,18042024,Co_Inoc,no,20240525,17,1A,2
18042024044,18042024,Co_Inoc,no,20240525,17,2A,2
18042024046,18042024,Co_Inoc,no,20240525,17,1D,2
18042024047,18042024,Co_Inoc,no,20240525,17,2A,2
18042024048,18042024,Co_Inoc,no,20240525,17,1D,2
18042024001,18042024,Control,no,20240528,20,2A,2
18042024002,18042024,Control,no,20240528,20,2A,2
18042024003,18042024,Control,no,20240528,20,2A,2
18042024004,18042024,Control,no,20240528,20,1B,2
18042024005,18042024,Control,yes,20240528,20,2A,2
18042024006,18042024,Control,yes,20240528,20,1B,2
18042024007,18042024,Control,no,20240528,20,1C,2
18042024008,18042024,Control,no,20240528,20,2D,2
18042024009,18042024,Control,yes,20240528,20,2B,2
18042024010,18042024,Control,no,20240528,20,2A,2
18042024011,18042024,Control,no,20240528,20,2B,2
18042024012,18042024,Control,no,20240528,20,2B,2
18042024013,18042024,Ceno,no,20240528,20,1D,2
18042024014,18042024,Ceno,no,20240528,20,1B,2
18042024015,18042024,Ceno,no,20240528,20,1D,2
18042024016,18042024,Ceno,no,20240528,20,2A,2
18042024017,18042024,Ceno,no,20240528,20,2A,2
18042024018,18042024,Ceno,no,20240528,20,2A,2
18042024019,18042024,Ceno,no,20240528,20,2D,2
18042024020,18042024,Ceno,no,20240528,20,2A,2
18042024021,18042024,Ceno,no,20240528,20,2A,2
18042024022,18042024,Ceno,no,20240528,20,1A,2
18042024023,18042024,Ceno,no,20240528,20,1D,2
18042024024,18042024,Ceno,no,20240528,20,1A,2
18042024025,18042024,Pilo,yes,20240528,20,2B,2
18042024026,18042024,Pilo,no,20240528,20,2A,2
18042024027,18042024,Pilo,no,20240528,20,1C,2
18042024028,18042024,Pilo,no,20240528,20,1D,2
18042024029,18042024,Pilo,no,20240528,20,1B,2
18042024030,18042024,Pilo,no,20240528,20,2A,2
18042024031,18042024,Pilo,no,20240528,20,2B,2
18042024032,18042024,Pilo,no,20240528,20,2C,2
18042024033,18042024,Pilo,no,20240528,20,2A,2
18042024034,18042024,Pilo,no,20240528,20,2C,2
18042024035,18042024,Pilo,no,20240528,20,1D,2
18042024036,18042024,Pilo,yes,20240528,20,2A,2
18042024037,18042024,Co_Inoc,no,20240528,20,2A,2
18042024038,18042024,Co_Inoc,no,20240528,20,1A,2
18042024039,18042024,Co_Inoc,no,20240528,20,2A,2
18042024040,18042024,Co_Inoc,no,20240528,20,2A,2
18042024041,18042024,Co_Inoc,no,20240528,20,1B,2
18042024042,18042024,Co_Inoc,no,20240528,20,1D,2
18042024043,18042024,Co_Inoc,no,20240528,20,1A,2
18042024044,18042024,Co_Inoc,no,20240528,20,2A,2
18042024046,18042024,Co_Inoc,no,20240528,20,1D,2
18042024047,18042024,Co_Inoc,no,20240528,20,2A,2
18042024048,18042024,Co_Inoc,no,20240528,20,1D,2
18042024001,18042024,Control,no,20240530,22,2A,3
18042024002,18042024,Control,no,20240530,22,2A,3
18042024003,18042024,Control,no,20240530,22,2A,3
18042024004,18042024,Control,no,20240530,22,1B,3
18042024005,18042024,Control,yes,20240530,22,2A,3
18042024006,18042024,Control,yes,20240530,22,1B,3
18042024007,18042024,Control,no,20240530,22,1D,3
18042024008,18042024,Control,no,20240530,22,2D,3
18042024009,18042024,Control,yes,20240530,22,2C,3
18042024010,18042024,Control,no,20240530,22,2A,3
18042024011,18042024,Control,no,20240530,22,2B,3
18042024012,18042024,Control,no,20240530,22,2B,3
18042024013,18042024,Ceno,no,20240530,22,1D,3
18042024014,18042024,Ceno,no,20240530,22,1B,3
18042024015,18042024,Ceno,no,20240530,22,1D,3
18042024016,18042024,Ceno,no,20240530,22,2A,3
18042024017,18042024,Ceno,no,20240530,22,2A,3
18042024018,18042024,Ceno,no,20240530,22,2B,3
18042024019,18042024,Ceno,no,20240530,22,2D,3
18042024020,18042024,Ceno,no,20240530,22,2A,3
18042024021,18042024,Ceno,no,20240530,22,2A,3
18042024022,18042024,Ceno,no,20240530,22,1B,3
18042024023,18042024,Ceno,no,20240530,22,1D,3
18042024024,18042024,Ceno,no,20240530,22,1A,3
18042024025,18042024,Pilo,yes,20240530,22,2C,3
18042024026,18042024,Pilo,no,20240530,22,2A,3
18042024027,18042024,Pilo,no,20240530,22,1C,3
18042024028,18042024,Pilo,no,20240530,22,1D,3
18042024029,18042024,Pilo,no,20240530,22,1C,3
18042024030,18042024,Pilo,no,20240530,22,2A,3
18042024031,18042024,Pilo,no,20240530,22,2C,3
18042024032,18042024,Pilo,no,20240530,22,2C,3
18042024033,18042024,Pilo,no,20240530,22,2A,3
18042024034,18042024,Pilo,no,20240530,22,2C,3
18042024035,18042024,Pilo,no,20240530,22,1D,3
18042024036,18042024,Pilo,yes,20240530,22,2A,3
18042024037,18042024,Co_Inoc,no,20240530,22,2A,3
18042024038,18042024,Co_Inoc,no,20240530,22,1A,3
18042024039,18042024,Co_Inoc,no,20240530,22,2A,3
18042024040,18042024,Co_Inoc,no,20240530,22,2A,3
18042024041,18042024,Co_Inoc,no,20240530,22,1B,3
18042024042,18042024,Co_Inoc,no,20240530,22,1D,3
18042024043,18042024,Co_Inoc,no,20240530,22,1A,3
18042024044,18042024,Co_Inoc,no,20240530,22,2A,3
18042024046,18042024,Co_Inoc,no,20240530,22,1D,3
18042024047,18042024,Co_Inoc,no,20240530,22,2A,3
18042024048,18042024,Co_Inoc,no,20240530,22,2A,3
18042024001,18042024,Control,no,20240604,27,2B,3
18042024002,18042024,Control,no,20240604,27,2A,3
18042024003,18042024,Control,no,20240604,27,2A,3
18042024004,18042024,Control,no,20240604,27,1B,3
18042024005,18042024,Control,yes,20240604,27,2B,3
18042024006,18042024,Control,yes,20240604,27,1C,3
18042024007,18042024,Control,no,20240604,27,1D,3
18042024008,18042024,Control,no,20240604,27,2D,3
18042024009,18042024,Control,yes,20240604,27,2C,3
18042024010,18042024,Control,no,20240604,27,2B,3
18042024011,18042024,Control,no,20240604,27,2C,3
18042024012,18042024,Control,no,20240604,27,2C,3
18042024013,18042024,Ceno,no,20240604,27,2A,3
18042024014,18042024,Ceno,no,20240604,27,1B,3
18042024015,18042024,Ceno,no,20240604,27,2A,3
18042024016,18042024,Ceno,no,20240604,27,2A,3
18042024017,18042024,Ceno,no,20240604,27,2A,3
18042024018,18042024,Ceno,no,20240604,27,2B,3
18042024019,18042024,Ceno,no,20240604,27,3A,3
18042024020,18042024,Ceno,no,20240604,27,2B,3
18042024021,18042024,Ceno,no,20240604,27,2A,3
18042024022,18042024,Ceno,no,20240604,27,1B,3
18042024023,18042024,Ceno,no,20240604,27,1D,3
18042024024,18042024,Ceno,no,20240604,27,1A,3
18042024025,18042024,Pilo,yes,20240604,27,2C,3
18042024026,18042024,Pilo,no,20240604,27,2B,3
18042024027,18042024,Pilo,no,20240604,27,1D,3
18042024028,18042024,Pilo,no,20240604,27,1D,3
18042024029,18042024,Pilo,no,20240604,27,1C,3
18042024030,18042024,Pilo,no,20240604,27,2A,3
18042024031,18042024,Pilo,no,20240604,27,2C,3
18042024032,18042024,Pilo,no,20240604,27,2D,3
18042024033,18042024,Pilo,no,20240604,27,2A,3
18042024034,18042024,Pilo,no,20240604,27,2C,3
18042024035,18042024,Pilo,no,20240604,27,1D,3
18042024036,18042024,Pilo,yes,20240604,27,2A,3
18042024037,18042024,Co_Inoc,no,20240604,27,2A,3
18042024038,18042024,Co_Inoc,no,20240604,27,1A,3
18042024039,18042024,Co_Inoc,no,20240604,27,2B,3
18042024040,18042024,Co_Inoc,no,20240604,27,2A,3
18042024041,18042024,Co_Inoc,no,20240604,27,1B,3
18042024042,18042024,Co_Inoc,no,20240604,27,2B,3
18042024043,18042024,Co_Inoc,no,20240604,27,1A,3
18042024044,18042024,Co_Inoc,no,20240604,27,2B,3
18042024046,18042024,Co_Inoc,no,20240604,27,1D,3
18042024047,18042024,Co_Inoc,no,20240604,27,2B,3
18042024048,18042024,Co_Inoc,no,20240604,27,2A,3
18042024001,18042024,Control,no,20240607,30,2B,4
18042024002,18042024,Control,no,20240607,30,2B,4
18042024003,18042024,Control,no,20240607,30,2A,4
18042024004,18042024,Control,no,20240607,30,1B,4
18042024005,18042024,Control,yes,20240607,30,2B,4
18042024006,18042024,Control,yes,20240607,30,1C,4
18042024007,18042024,Control,no,20240607,30,1D,4
18042024008,18042024,Control,no,20240607,30,2D,4
18042024009,18042024,Control,yes,20240607,30,2C,4
18042024010,18042024,Control,no,20240607,30,2C,4
18042024011,18042024,Control,no,20240607,30,2C,4
18042024012,18042024,Control,no,20240607,30,2C,4
18042024013,18042024,Ceno,no,20240607,30,2A,4
18042024014,18042024,Ceno,no,20240607,30,1B,4
18042024015,18042024,Ceno,no,20240607,30,2A,4
18042024016,18042024,Ceno,no,20240607,30,2A,4
18042024017,18042024,Ceno,no,20240607,30,2A,4
18042024018,18042024,Ceno,no,20240607,30,2C,4
18042024019,18042024,Ceno,no,20240607,30,3A,4
18042024020,18042024,Ceno,no,20240607,30,2B,4
18042024021,18042024,Ceno,no,20240607,30,2A,4
18042024022,18042024,Ceno,no,20240607,30,1B,4
18042024023,18042024,Ceno,no,20240607,30,1D,4
18042024024,18042024,Ceno,no,20240607,30,1A,4
18042024025,18042024,Pilo,yes,20240607,30,2C,4
18042024026,18042024,Pilo,no,20240607,30,2B,4
18042024027,18042024,Pilo,no,20240607,30,1D,4
18042024028,18042024,Pilo,no,20240607,30,1D,4
18042024029,18042024,Pilo,no,20240607,30,1C,4
18042024030,18042024,Pilo,no,20240607,30,2A,4
18042024031,18042024,Pilo,no,20240607,30,2D,4
18042024032,18042024,Pilo,no,20240607,30,2D,4
18042024033,18042024,Pilo,no,20240607,30,2B,4
18042024034,18042024,Pilo,no,20240607,30,2D,4
18042024035,18042024,Pilo,no,20240607,30,1D,4
18042024036,18042024,Pilo,yes,20240607,30,2B,4
18042024037,18042024,Co_Inoc,no,20240607,30,2A,4
18042024038,18042024,Co_Inoc,no,20240607,30,1A,4
18042024039,18042024,Co_Inoc,no,20240607,30,2C,4
18042024040,18042024,Co_Inoc,no,20240607,30,2A,4
18042024041,18042024,Co_Inoc,no,20240607,30,1B,4
18042024042,18042024,Co_Inoc,no,20240607,30,2C,4
18042024043,18042024,Co_Inoc,no,20240607,30,1B,4
18042024044,18042024,Co_Inoc,no,20240607,30,2C,4
18042024046,18042024,Co_Inoc,no,20240607,30,1D,4
18042024047,18042024,Co_Inoc,no,20240607,30,2B,4
18042024048,18042024,Co_Inoc,no,20240607,30,2B,4
18042024001,18042024,Control,no,20240611,34,2C,4
18042024002,18042024,Control,no,20240611,34,2B,4
18042024003,18042024,Control,no,20240611,34,2A,4
18042024004,18042024,Control,no,20240611,34,1B,4
18042024005,18042024,Control,yes,20240611,34,2C,4
18042024006,18042024,Control,yes,20240611,34,1C,4
18042024007,18042024,Control,no,20240611,34,2A,4
